"CORDOBA, Stella Maris",FPV,Tucuman,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CORTINA, Roy",PS,Cdad. Aut. Bs. As.,0,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,9,0,1,0,0,0,2,1,1
"COSTA, Eduardo Raul",UCR,Santa Cruz,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,2,2,1,1,0,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,2,2
"CREMER de BUSTI, Maria Cristina",FPER,Entre Rios,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,2,2
"CUCCOVILLO, Ricardo Oscar",PS,Buenos Aires,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,0,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,0,0,0,0,1,9,0,1,0,2,2,1,1,1
"CURRILEN, Oscar Ruben",FPV,Chubut,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CUSINATO, Gustavo",UCR,Entre Rios,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,0,1,1,1,1,1,1,1,1,9,1,1,1,2,1,1,1,,,,,,,,,,,,,,
"DAHER, Zulema Beatriz",OTROS,Salta,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,0,0,1,1,1,,,,,,,,,,,,,,
"DAMILANO GRIVARELLO, Viviana Monica",FPV,Chaco,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,,
"DATO, Alfredo Carlos",FPV,Tucuman,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"De FERRARI RUEDA, Patricia",UCR,Cordoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,2,2,2
"De GENNARO, Victor",OTROS,Buenos Aires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,9,0,1,9,0,0,1,1,1
"de la ROSA, Maria Graciela",FPV,Formosa,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,9,9,1,1,1,,,,,,,,,,,,,,
"DE MARCHI, Omar Bruno",OTROS,Mendoza,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,9,1,1,2,2,2,2,2,2,1,2,2,1,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,2
"DE NARVAEZ, Francisco",FPER,Buenos Aires,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,0,1,1,1,1,2,2,2,2,2,2,1,0,2,2,2,2,0,0,0,0,1,1,0,1,0,2,2,1,2,2
"de PEDRO, Eduardo Enrique",FPV,Buenos Aires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"de PRAT GAY, Alfonso",CC,Cdad. Aut. Bs. As.,0,1,2,1,1,1,1,1,0,9,0,2,1,1,1,1,1,1,1,1,9,1,1,1,0,1,9,2,2,1,1,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,9,0,0,1,1,2,1
"del CAMPILLO, Hector Eduardo",UCR,Cordoba,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,2,1,1,0,1,1,1,1,2,1,1,1,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,
"DEPETRI, Edgardo Fernando",FPV,Buenos Aires,0,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"di TULLIO, Juliana",FPV,Buenos Aires,0,1,1,1,1,2,2,2,2,2,2,2,1,1,1,9,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DIAZ BANCALARI, Jose Maria",FPV,Buenos Aires,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DIAZ ROIG, Juan Carlos",FPV,Formosa,0,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DIAZ, Susana Eladia",FPV,Tucuman,0,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,
"DONDA PEREZ, Victoria Analia",OTROS,Buenos Aires,0,1,9,1,0,1,1,1,2,2,2,2,1,2,1,1,1,1,1,1,1,2,1,2,2,1,9,1,1,2,1,1,2,2,2,2,2,2,2,2,2,0,0,0,0,1,9,0,1,0,0,0,1,1,1
"DONKIN, Carlos Guillermo",FPV,Formosa,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
